Date ,Remark,Value
2/8/1999,,0.84
3/16/1999,,0.73
4/14/1999,,0.83
5/13/1999,,0.83
7/27/1999,,0.83
8/2/1999,,0.83
11/8/1999,,0.79
12/7/1999,,0.75
1/11/2000,,0.68
2/18/2000,,0.91
3/8/2000,,0.82
4/25/2000,,0.79
5/15/2000,,0.87
6/22/2000,,1.14
9/13/2000,,1.26
11/20/2000,,0.28
1/26/2001,,0.98
3/13/2001,,1.12
4/12/2001,,1.14
5/10/2001,,1.48
6/5/2001,,1.17
7/11/2001,,1.08
7/23/2001,,1.3
8/8/2001,,1.02
9/4/2001,,0.97
9/5/2001,,0.97
10/9/2001,,1.01
11/8/2001,,0.76
11/9/2001,,0.89
12/17/2001,,0.94
1/24/2002,,0.83
2/13/2002,,0.87
3/15/2002,,0.94
4/15/2002,,0.94
6/13/2002,,1.22
7/18/2002,,0.96
8/15/2002,,0.99
9/19/2002,,0.9
11/15/2002,,0.86
2/13/2003,,0.81
3/14/2003,,1.11
5/19/2003,,1.06
6/11/2003,,0.97
7/21/2003,,0.89
11/4/2003,,0.96
2/10/2004,,0.85
2/11/2004,,0.95
4/19/2004,,0.97
7/8/2004,,0.87
8/10/2004,,0.83
11/15/2004,,0.88
1/28/2005,,0.63
2/15/2005,,0.78
2/21/2005,,0.96
4/14/2005,,0.9
5/27/2005,,1.07
6/30/2005,,0.85
9/13/2005,,0.68
9/15/2005,,0.83
9/16/2005,,0.87
10/10/2005,,0.89
10/11/2005,,0.89
12/12/2005,,0.87
12/19/2005,,0.89
2/21/2006,,0.92
3/13/2006,,0.78
4/5/2006,,0.98
4/11/2006,,1.05
9/14/2006,,0.66
10/13/2006,,0.71
10/18/2006,,0.74
11/2/2006,,0.74
11/14/2006,,0.78
3/14/2007,,0.65
5/9/2007,,0.92
5/16/2007,,1
6/13/2007,,0.97
7/16/2007,,0.96
8/13/2007,,0.93
9/12/2007,,0.68
10/11/2007,,0.82
11/14/2007,,0.73
12/18/2007,,0.69
1/16/2008,,0.79
2/14/2008,,0.73
3/13/2008,,0.7
4/10/2008,,0.53
5/16/2008,,0.77
6/11/2008,,0.79
3/30/2009,,0.88
6/2/2009,,0.8
7/8/2009,,0.93
7/28/2009,,1.05
9/9/2009,,0.95
10/8/2009,,1.03
11/5/2009,,0.9
1/12/2010,,0.84
1/20/2010,,1.06
3/23/2010,,0.89
5/5/2010,,2.32
5/27/2010,,1.99
7/1/2010,,0.93
9/2/2010,,0.89
9/14/2010,,0.9
11/4/2010,,0.85
12/6/2010,,1.03
1/6/2011,,0.83
2/10/2011,,0.86
3/8/2011,,0.76
3/16/2011,,0.89
6/23/2011,,1.79
7/15/2011,,0.91
8/24/2011,,1
11/4/2011,,0.78
12/19/2011,,0.83
1/27/2012,,0.82
3/19/2012,,1.14
3/22/2012,,1.04
5/4/2012,,1.64
6/28/2012,,1.64
7/13/2012,,1.23
9/6/2012,,1
9/7/2012,,1.09
11/7/2012,,1.13
1/3/2013,,1
3/14/2013,,1.55
4/24/2013,,1.28
5/3/2013,,1.44
12/9/2013,,0.96
4/21/2014,,0.84
7/29/2014,,0.53
9/24/2014,,0.82
1/13/2015,,0.74
2/24/2015,,0.68
4/2/2015,,0.89
5/13/2015,,0.75
6/4/2015,,0.75
7/27/2015,,0.79
7/29/2015,,0.84
10/2/2015,,0.83
10/7/2015,,0.74
2/5/2016,,0.52
2/18/2016,,0.98
4/1/2016,,0.61
4/26/2016,,1.2
6/9/2016,,0.36
8/18/2016,,0.82
9/13/2016,,0.7
10/28/2016,,0.66
12/8/2016,,0.87
3/23/2017,,0.72
9/6/2017,,1.24
12/7/2017,,0.84
2/28/2018,,0.91
3/12/2018,,0.86
4/3/2018,,0.69
5/29/2018,,0.53
7/18/2018,,1
8/13/2018,,0.99
9/24/2018,,0.88
11/12/2018,,0.94
1/16/2019,,1
2/5/2019,,1.1
2/21/2019,,1.1
3/18/2019,,0.88
4/25/2019,,0.79
5/6/2019,,1.08
5/13/2019,,1.1
6/26/2019,,0.79
7/10/2019,,0.89
8/6/2019,,0.83
10/11/2019,,0.85
11/4/2019,,0.79
11/21/2019,,0.65
1/3/2020,,0.72
2/19/2020,,0.34
5/20/2020,,1.16
6/16/2020,,0.85
7/28/2020,,0.88
8/6/2020,,0.81
10/28/2020,,0.76
11/2/2020,,0.82
11/9/2020,,0.81
2/24/2021,,0.96
3/11/2021,,0.85
4/21/2021,,1
5/4/2021,,0.81
5/27/2021,,0.96
7/14/2021,,1.3
10/20/2021,,1
11/30/2021,,0.93
2/10/2022,,0.77
2/14/2022,,0.92
4/18/2022,,1.3
5/4/2022,,1.16
7/26/2022,,1.2
8/18/2022,,1.64
9/7/2022,,0.94
10/12/2022,,0.8
11/22/2022,,0.72
2/8/2023,,0.96
3/6/2023,,0.99
5/25/2023,,1.5
6/1/2023,,0.96
8/7/2023,,0.94
8/24/2023,,0.92
11/7/2023,,1.34
11/8/2023,,0.92
